720
835	音	31
1057	音楽	25
836	頃	40
595	頭	35
684	顔	51
596	風	36
527	食	23
500	食べ	66
501	食べる	27
502	飲み	22
707	飼い主	34
477	首相	27
138	首脳	57
884	駅	26
434	高	58
107	高い	58
1043	高く	31
108	魅力	32
266	％	46
997	＋	21
547	－	38
109	／	67
331	０	88
332	１	113
139	２	151
140	３	94
548	４	74
685	５	59
549	５月	20
333	６	71
141	７	66
334	８	67
142	９	97
